France	Castellet
Left	5.383	178.176
Left	5.407	183.928
Left	5.428	192.752
Left	5.457	188.073
Left	5.482	183.663
Left	5.509	181.978
Left	5.548	169.950
Left	5.575	164.664
Left	5.610	160.242
Left	5.629	166.475
Left	5.664	167.042
Left	5.688	166.916
Left	5.702	172.951
Left	5.718	186.384
Left	5.748	188.976
Left	5.776	190.192
Left	5.802	195.855
Left	5.839	197.928
Left	5.871	192.604
Left	5.899	197.064
Left	5.917	216.051
Left	5.944	252.582
Left	5.971	302.374
Left	6.008	379.269
Left	6.037	491.400
Left	6.078	605.405
Left	6.104	721.983
Left	6.138	897.274
Left	6.160	1172.095
Left	6.187	1536.372
Straight	1705.981	0.000
Right	7.985	1045.025
Right	7.968	649.704
Right	7.940	451.931
Right	7.901	347.751
Right	7.869	293.571
Right	7.832	273.303
Right	7.793	262.511
Right	7.767	255.791
Right	7.738	247.139
Right	7.698	243.188
Right	7.673	238.524
Right	7.646	230.292
Right	7.605	229.240
Right	7.576	225.402
Right	7.560	214.039
Right	7.518	206.675
Right	7.487	204.062
Right	7.470	199.457
Right	7.447	199.483
Right	7.423	199.151
Right	7.417	201.578
Right	7.414	202.706
Right	7.406	203.770
Right	7.409	203.029
Right	7.405	207.038
Right	7.401	206.799
Right	7.403	207.661
Right	7.399	201.182
Right	7.383	195.114
Right	7.374	194.357
Right	7.375	192.648
Right	7.363	193.218
Right	7.356	204.728
Right	7.365	224.758
Right	7.369	261.832
Right	7.371	345.260
Right	7.379	523.648
Right	7.391	1031.248
Straight	14.805	0.000
Left	7.421	1461.967
Left	7.442	1318.948
Left	7.463	1378.098
Left	7.477	1499.492
Left	7.486	1680.039
Straight	30.051	0.000
Right	7.541	1869.745
Right	7.547	1112.136
Right	7.557	772.096
Right	7.545	621.375
Right	7.511	521.780
Right	7.435	482.448
Right	7.320	477.384
Right	7.155	509.585
Right	6.966	510.945
Right	6.761	503.185
Right	6.564	449.063
Right	6.380	394.445
Right	6.214	345.885
Right	6.072	283.867
Right	5.925	238.588
Right	5.783	214.147
Right	5.643	191.819
Right	5.479	171.128
Right	5.352	158.153
Right	5.247	148.171
Right	5.152	143.747
Right	5.071	136.809
Right	5.026	128.507
Right	4.952	128.478
Right	4.887	129.505
Right	4.826	124.978
Right	4.765	122.184
Right	4.707	119.264
Right	4.663	117.290
Right	4.615	109.872
Right	4.581	103.037
Right	4.561	98.246
Right	4.547	96.862
Right	4.546	92.810
Right	4.565	92.273
Right	4.585	92.596
Right	4.601	92.624
Right	4.620	90.735
Right	4.628	89.986
Right	4.627	89.825
Right	4.628	89.569
Right	4.639	89.593
Right	4.645	90.065
Right	4.661	89.742
Right	4.682	90.187
Right	4.694	92.504
Right	4.693	93.760
Right	4.694	93.181
Right	4.674	96.889
Right	4.639	104.071
Right	4.606	107.608
Right	4.569	114.782
Right	4.522	126.782
Right	4.481	121.561
Right	4.446	109.860
Right	4.412	99.006
Right	4.382	90.047
Right	4.356	85.221
Right	4.350	84.618
Right	4.340	85.322
Right	4.332	88.735
Right	4.332	87.744
Right	4.329	82.900
Right	4.314	79.526
Right	4.315	74.677
Right	4.303	71.176
Right	4.296	71.928
Right	4.312	72.773
Right	4.323	75.968
Right	4.339	82.498
Right	4.377	86.094
Right	4.412	87.795
Right	4.434	92.517
Right	4.474	92.341
Right	4.502	96.185
Right	4.524	103.282
Right	4.563	108.051
Right	4.597	110.481
Right	4.624	117.312
Right	4.664	116.211
Right	4.710	117.297
Right	4.741	123.335
Right	4.788	133.690
Right	4.820	149.723
Right	4.867	169.541
Right	4.916	179.568
Right	4.956	182.196
Right	4.987	179.284
Right	5.037	171.926
Right	5.069	168.310
Right	5.095	173.839
Right	5.130	187.825
Right	5.171	212.587
Right	5.204	259.473
Right	5.239	354.206
Right	5.273	665.232
Straight	5.308	0.000
Left	5.345	822.665
Left	5.379	414.233
Left	5.417	296.124
Left	5.452	241.602
Left	5.484	215.308
Left	5.509	198.087
Left	5.546	192.351
Left	5.573	188.879
Left	5.597	186.736
Left	5.615	182.407
Left	5.597	181.009
Left	5.513	175.623
Left	5.392	173.921
Left	5.230	178.016
Left	5.035	182.212
Left	4.836	172.968
Left	4.644	167.560
Left	4.462	156.570
Left	4.297	140.664
Left	4.144	130.850
Left	4.008	133.544
Left	3.901	134.869
Left	3.805	139.725
Left	3.722	150.876
Left	3.650	159.018
Left	3.591	161.855
Left	3.537	159.373
Left	3.493	149.096
Left	3.452	126.253
Left	3.407	102.548
Left	3.358	85.772
Left	3.309	74.599
Left	3.259	64.991
Left	3.207	58.385
Left	3.164	55.103
Left	3.132	51.084
Left	3.096	47.486
Left	3.063	45.903
Left	3.033	45.974
Left	3.011	46.301
Left	2.992	46.849
Left	2.984	48.334
Left	2.983	49.458
Left	2.991	49.118
Left	3.000	49.339
Left	3.013	51.625
Left	3.034	52.316
Left	3.065	52.549
Left	3.093	55.142
Left	3.123	58.003
Left	3.161	60.991
Left	3.197	65.591
Left	3.237	70.463
Left	3.288	75.178
Left	3.342	80.413
Left	3.398	85.544
Left	3.458	88.218
Left	3.528	89.578
Left	3.597	88.617
Left	3.665	86.891
Left	3.736	86.532
Left	3.801	95.382
Left	3.857	112.661
Left	3.920	139.853
Left	3.981	182.773
Left	4.048	271.186
Left	4.122	353.402
Left	4.190	517.161
Straight	4.253	0.000
Right	4.322	1107.290
Right	4.376	480.795
Right	4.428	300.993
Right	4.479	235.558
Right	4.524	220.111
Right	4.571	210.001
Right	4.616	209.629
Right	4.664	208.048
Right	4.714	204.821
Right	4.769	204.828
Right	4.817	203.161
Right	4.872	195.739
Right	4.925	191.047
Right	4.976	191.495
Right	5.023	191.058
Right	5.072	191.129
Right	5.115	192.952
Right	5.156	195.235
Right	5.199	195.681
Right	5.238	198.658
Right	5.276	202.668
Right	5.315	208.634
Right	5.351	215.540
Right	5.381	218.345
Right	5.417	216.093
Right	5.446	216.297
Right	5.474	219.419
Right	5.503	221.106
Right	5.537	222.902
Right	5.563	225.046
Right	5.596	225.782
Right	5.633	217.960
Right	5.665	220.129
Right	5.688	227.735
Right	5.714	230.841
Right	5.744	231.638
Right	5.771	229.992
Right	5.804	222.954
Right	5.837	210.751
Right	5.870	204.452
Right	5.890	209.282
Right	5.910	213.721
Right	5.926	220.948
Right	5.946	230.446
Right	5.961	240.498
Right	5.984	242.716
Right	6.012	244.952
Right	6.042	243.517
Right	6.063	256.981
Right	6.083	291.089
Right	6.106	371.119
Right	6.123	661.246
Straight	6.139	0.000
Left	6.131	916.546
Left	6.086	448.483
Left	5.978	327.007
Left	5.850	287.315
Left	5.669	252.344
Left	5.482	234.600
Left	5.303	224.645
Left	5.163	200.664
Left	5.020	171.707
Left	4.895	160.477
Left	4.796	152.860
Left	4.721	149.875
Left	4.652	153.808
Left	4.590	165.420
Left	4.553	170.706
Left	4.511	171.124
Left	4.456	170.645
Left	4.399	176.138
Left	4.339	173.522
Left	4.277	171.681
Left	4.213	165.088
Left	4.164	149.268
Left	4.113	129.473
Left	4.074	114.175
Left	4.032	99.943
Left	3.999	88.416
Left	3.963	79.266
Left	3.931	73.610
Left	3.894	70.717
Left	3.861	66.651
Left	3.827	64.725
Left	3.797	66.546
Left	3.778	67.107
Left	3.768	65.843
Left	3.765	67.465
Left	3.770	68.069
Left	3.778	66.133
Left	3.779	65.649
Left	3.788	65.952
Left	3.793	67.148
Left	3.798	70.010
Left	3.810	73.919
Left	3.826	78.118
Left	3.846	83.871
Left	3.875	90.051
Left	3.902	93.398
Left	3.907	97.374
Left	3.886	103.035
Left	3.819	112.457
Left	3.697	127.091
Left	3.559	153.674
Left	3.402	209.187
Left	3.255	350.669
Left	3.090	726.345
Straight	2.941	0.000
Right	2.814	568.291
Right	2.694	258.742
Right	2.580	151.471
Right	2.508	98.931
Right	2.458	65.808
Right	2.384	51.438
Right	2.329	41.618
Right	2.270	35.977
Right	2.218	31.653
Right	2.165	29.719
Right	2.123	27.307
Right	2.079	25.926
Right	2.040	24.397
Right	1.996	22.437
Right	1.952	21.205
Right	1.912	20.070
Right	1.871	19.692
Right	1.842	19.172
Right	1.824	19.550
Right	1.817	19.668
Right	1.825	20.480
Right	1.843	20.669
Right	1.866	21.570
Right	1.900	23.625
Right	1.938	25.594
Right	1.982	29.534
Right	2.039	34.925
Right	2.105	41.214
Right	2.178	47.867
Right	2.261	60.024
Right	2.347	68.499
Right	2.439	81.519
Right	2.541	98.490
Right	2.636	109.288
Right	2.742	117.170
Right	2.846	123.949
Right	2.942	130.915
Right	3.031	145.876
Right	3.117	169.032
Right	3.188	189.094
Right	3.253	219.240
Right	3.314	254.371
Right	3.379	271.961
Right	3.440	314.145
Right	3.507	396.661
Right	3.570	499.636
Right	3.645	690.819
Right	3.715	1005.105
Right	3.789	1406.800
Straight	50.669	0.000
Left	4.572	1936.812
Left	4.614	1779.011
Left	4.659	1756.003
Left	4.704	1978.285
Straight	250.363	0.000
